000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000
STP,LAZ,000,000,000,000,000,000,000,000,000,000,000,000,000,STP
WAL,WAL,000,000,000,000,000,000,000,000,000,000,000,000,WAL,WAL
WAL,WAL,000,000,000,000,000,000,000,000,000,000,000,000,WAL,WAL
WAL,WAL,000,000,000,000,000,000,000,000,000,000,000,000,WAL,WAL
WAL,WAL,000,000,000,000,000,000,000,000,000,000,000,000,WAL,WAL
WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL
WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL,WAL
